"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.01,660
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.025,775
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.05,891
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.1,1032
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.15,1134
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.2,1219
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.25,1295
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.3,1366
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.35,1434
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.4,1499
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.45,1563
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.5,1626
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.55,1693
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.6,1761
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.65,1833
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.7,1911
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.75,1996
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.8,2094
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.85,2215
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.9,2368
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.95,2604
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.975,2815
"2021-12-13","1 wk ahead inc flu hosp","2021-12-18","US","quantile",0.99,3084
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.01,518
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.025,670
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.05,826
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.1,1023
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.15,1171
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.2,1294
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.25,1406
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.3,1513
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.35,1609
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.4,1707
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.45,1806
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.5,1904
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.55,2005
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.6,2110
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.65,2225
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.7,2349
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.75,2485
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.8,2640
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.85,2830
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.9,3074
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.95,3450
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.975,3805
"2021-12-13","2 wk ahead inc flu hosp","2021-12-25","US","quantile",0.99,4212
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.01,450
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.025,631
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.05,819
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.1,1067
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.15,1252
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.2,1410
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.25,1556
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.3,1689
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.35,1819
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.4,1948
"2021-12-13","3 wk ahead inc flu hosp","2022-01-01","US","quantile",0.45,2077
